                    ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
const               ,    2.7160,    0.277,    9.821, 0.000,    2.173,    3.259
age                 ,    0.0100,    0.012,    0.843, 0.399,   -0.013,    0.033
age_square          ,   -0.0002,    0.000,   -1.723, 0.085,   -0.000, 2.93e-05
edu_index           ,    0.1003,    0.019,    5.232, 0.000,    0.063,    0.138
female              ,    0.2177,    0.082,    2.647, 0.008,    0.056,    0.379
dom_situation_index ,    0.0613,    0.052,    1.177, 0.239,   -0.041,    0.164
hh_members_dummy    ,    0.0613,    0.052,    1.177, 0.239,   -0.041,    0.164
hh_children_dummy   ,   -0.0803,    0.107,   -0.751, 0.453,   -0.290,    0.129
location_urban_index,   -0.0062,    0.029,   -0.212, 0.832,   -0.064,    0.051
