                    ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
const               ,    1.2149,    0.106,   11.430, 0.000,    1.005,    1.424
edu_index           ,    0.0285,    0.034,    0.826, 0.410,   -0.040,    0.096
male                ,    0.4233,    0.107,    3.949, 0.000,    0.212,    0.635
female              ,    0.7916,    0.095,    8.342, 0.000,    0.604,    0.979
dom_situation_dummy ,    0.4844,    0.056,    8.610, 0.000,    0.373,    0.595
dom_not_single      ,    0.7305,    0.106,    6.908, 0.000,    0.522,    0.939
hh_members_dummy    ,    0.4844,    0.056,    8.610, 0.000,    0.373,    0.595
hh_children_dummy   ,   -0.0057,    0.382,   -0.015, 0.988,   -0.759,    0.748
location_urban_index,    0.0128,    0.058,    0.222, 0.825,   -0.101,    0.126
